*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-6.722209	0.003648	-1.723129	0.012229	0.048804	0.000000
-6.716918	0.132353	-1.723129	0.015157	1.770882	0.500000
-6.712156	0.230836	-1.722942	0.017281	3.088586	1.000000
-6.707394	0.298576	-1.723129	0.018745	3.994942	1.500000
-6.702103	0.352768	-1.723129	0.019028	4.720028	2.000000
-6.696812	0.392369	-1.722942	0.018651	5.249898	2.500000
-6.691522	0.454898	-1.723316	0.018934	6.086535	3.000000
-6.686760	0.579956	-1.723129	0.021059	7.759810	3.500000
-6.682527	0.697198	-1.723316	0.023089	9.328504	4.000000
-6.677765	0.841015	-1.723316	0.025072	11.252770	4.500000
-6.672474	0.974931	-1.723316	0.027621	13.044568	5.000000
-6.667712	1.128127	-1.723129	0.030266	15.094329	5.500000
-6.662951	1.278197	-1.723316	0.033665	17.102258	6.000000
-6.657660	1.422014	-1.723129	0.035931	19.026524	6.500000
-6.652369	1.603869	-1.723316	0.039945	21.459743	7.000000
-6.647078	1.755502	-1.722755	0.043486	23.488588	7.500000
-6.642845	1.907656	-1.723129	0.045941	25.524405	8.000000
-6.638083	2.053556	-1.723316	0.049010	27.476559	8.500000
-6.633321	2.203626	-1.723316	0.052598	29.484488	9.000000
-6.628559	2.373497	-1.723316	0.056470	31.757352	9.500000
-6.623269	2.543367	-1.722942	0.059822	34.030217	10.000000
-6.617978	2.706985	-1.723129	0.063222	36.219417	10.500000
-6.613216	2.877897	-1.723316	0.066669	38.506225	11.000000
-6.606867	2.967001	-1.723316	0.068840	39.698433	11.500000
-6.602634	3.189500	-1.723129	0.073892	42.675467	12.000000
-6.597343	3.340091	-1.723129	0.077198	44.690369	12.500000
-6.592581	3.497976	-1.723129	0.080880	46.802877	13.000000
-6.587290	3.658467	-1.722755	0.084280	48.950246	13.500000
-6.581470	3.812706	-1.723129	0.087396	51.013951	14.000000
-6.577237	3.964860	-1.723316	0.091079	53.049768	14.500000
-6.572476	4.117013	-1.722755	0.094667	55.085585	15.000000
-6.567714	4.281673	-1.723129	0.098020	57.288730	15.500000
-6.562423	4.420279	-1.723129	0.101277	59.143276	16.000000
-6.557132	4.577644	-1.722942	0.105055	61.248812	16.500000
-6.552899	4.728755	-1.723129	0.107982	63.270686	17.000000
-6.547608	4.844434	-1.723129	0.111004	64.818464	17.500000
-6.542846	5.013262	-1.723129	0.114875	67.077385	18.000000
-6.537556	5.163332	-1.723129	0.118511	69.085314	18.500000
-6.532794	5.304022	-1.723129	0.121108	70.967747	19.000000
-6.527503	5.438981	-1.723129	0.124460	72.773489	19.500000
-6.522212	5.543196	-1.723129	0.126774	74.167885	20.000000
-6.517450	5.689618	-1.723129	0.130645	76.127010	20.500000
-6.512688	5.817802	-1.723316	0.133195	77.842116	21.000000
-6.507397	5.940776	-1.723129	0.136217	79.487503	21.500000
-6.502635	6.070002	-1.723316	0.139427	81.216553	22.000000
-6.496815	6.175781	-1.723129	0.141363	82.631864	22.500000
-6.492583	6.291980	-1.723316	0.144527	84.186615	23.000000
-6.487821	6.422249	-1.722942	0.147737	85.929609	23.500000
-6.482530	6.534801	-1.723129	0.150334	87.435556	24.000000
-6.477239	6.657775	-1.723316	0.153120	89.080942	24.500000
-6.471419	6.664028	-1.722942	0.153403	89.164606	25.000000
