*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-13.442344	0.004690	-1.771197	0.001496	0.213167	0.000000
-13.435995	0.058881	-1.771384	0.002440	2.676431	0.500000
-13.431762	0.091188	-1.771384	0.002251	4.144915	1.000000
-13.427529	0.136001	-1.771384	0.002440	6.181844	1.500000
-13.421180	0.174560	-1.771384	0.001024	7.934551	2.000000
-13.416947	0.267311	-1.771010	0.002251	12.150521	2.500000
-13.410598	0.335051	-1.771384	0.001779	15.229601	3.000000
-13.406366	0.466362	-1.771384	0.003668	21.198278	3.500000
-13.401075	0.619558	-1.771384	0.006406	28.161734	4.000000
-13.393667	0.749306	-1.771384	0.008295	34.059356	4.500000
-13.391551	0.908755	-1.771197	0.010797	41.307035	5.000000
-13.386260	1.054135	-1.771384	0.013488	47.915213	5.500000
-13.380969	1.219315	-1.771197	0.016274	55.423430	6.000000
-13.376736	1.369385	-1.771197	0.019296	62.244775	6.500000
-13.371445	1.555409	-1.771384	0.022459	70.700401	7.000000
-13.367213	1.721111	-1.771384	0.025859	78.232303	7.500000
-13.364038	1.790414	-1.771384	0.027039	81.382438	8.000000
-13.356631	2.018123	-1.771758	0.030392	91.732882	8.500000
-13.352398	2.165067	-1.771384	0.033697	98.412116	9.000000
-13.347107	2.351611	-1.771010	0.037568	106.891427	9.500000
-13.340758	2.506371	-1.771197	0.040307	113.925939	10.000000
-13.336525	2.669467	-1.771384	0.043234	121.339415	10.500000
-13.332293	2.825269	-1.771384	0.046162	128.421297	11.000000
-13.325943	2.933131	-1.771010	0.047767	133.324139	11.500000
-13.321711	3.140519	-1.771384	0.052016	142.750859	12.000000
-13.317478	3.308305	-1.771197	0.055180	150.377502	12.500000
-13.311129	3.459417	-1.771010	0.058815	157.246218	13.000000
-13.304780	3.623555	-1.771010	0.062309	164.707064	13.500000
-13.300547	3.758514	-1.771384	0.065142	170.841538	14.000000
-13.296314	3.916921	-1.771197	0.068636	178.041847	14.500000
-13.292081	4.043021	-1.771197	0.070336	183.773672	15.000000
-13.286791	4.217581	-1.771384	0.074302	191.708222	15.500000
-13.281500	4.358792	-1.771384	0.076899	198.126919	16.000000
-13.275150	4.490103	-1.771384	0.079637	204.095596	16.500000
-13.270918	4.652679	-1.771010	0.082989	211.485386	17.000000
-13.267743	4.790242	-1.771384	0.085917	217.738286	17.500000
-13.262452	4.960113	-1.771010	0.089127	225.459670	18.000000
-13.257161	5.098719	-1.771010	0.092716	231.759940	18.500000
-13.251870	5.237846	-1.771384	0.094652	238.083896	19.000000
-13.245521	5.370720	-1.771384	0.097437	244.123628	19.500000
